"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
5.202,-5.732,-40.77,-70,-111.1,-19.86,-36.71,-55.33,-71.79,22.69,-153.5,-53.49,42.1,17.22,-199.6,-46.43,-134.7,-67.42,-88.77,-158.6,-146.5,-91.36,-101,-78.53,-106.6,-85.61,-10,-20.09,-4.46,1.26,0.59,3.94,2.37
57.22,64.72,106.4,110,-69.44,-97.31,-82.1,84.06,-56.19,-43.73,-0.4658,-39.12,43.85,-21.69,27.47,-65.7,41.62,-3.548,59.78,-83.97,83.82,-21.63,-10.27,-104.9,31.64,-88.27,120,61.5,2.51,-1.59,1.3,0.54,-1.95
13.77,6.885,36.49,200,-33.33,18.2,-54.87,52.61,45.22,22.69,91.77,92.46,-15.73,-13.9,31.44,-5.606,127,108.8,118.5,-96.15,37.88,-22.48,132.1,-3.158,109,88.36,230,-0.309,-1.05,4.09,-0.78,1.33,2.19
267.1,250.2,-40.34,250,-20,-85.5,-100.3,-2.256,65.7,-136.1,89.68,95.77,54.37,-161.8,73.08,-113.9,75.75,87.85,81,-243.8,126.3,223.3,121,104.4,-1.73,34.3,270,203,4.48,-0.75,-3.57,2.19,0.3
-122.7,-119.7,-16.75,0,-140,175.7,90.37,35.09,-35.71,183.1,14.21,-7.052,63.13,-118.2,-4.252,100.4,43.89,32.79,38.56,-24.6,-106.9,-39.91,-63.97,197,14.69,164.5,40,-102.3,0.9,-2.03,-0.96,1.71,-1.33
-99.45,-96.95,-4.001,-20,-108.7,45.77,44.98,-58.19,-38.64,101,-34.01,-85.55,110.4,7.886,-107.4,69.23,-133.6,-55.3,89.16,22.6,-67.96,-56.49,-135.1,-78.05,-47.29,-58.2,40,-80.04,4.43,-4.05,-0.79,-3.39,4.11
-101.3,-100.6,30.99,-20,-86.96,43.14,63.14,-27.27,-88.37,75.07,46.7,-80.03,133.2,120,-129.2,123.1,79.17,-88.34,192,174.8,-126.1,-78.18,-127.9,-156.8,29.52,-44.88,50,-85.91,1.51,1.42,3.95,-1.72,3.32
68.24,75.79,-60.41,110,-55.56,-55.31,-82.1,47.25,-47.41,NA,17.35,-3.735,71.89,57.69,-39.94,-69.1,12.04,41.6,22.24,-24.6,-59.82,62.56,40.45,53.97,77.2,-129.4,140,67.99,-3.64,-1.12,-4.9,-0.98,2.38
-119.2,-106.9,-118.2,-30,-159.1,92.46,61.47,72.92,-99.86,113.4,73.12,-115.6,129.7,76.88,-82.26,136.5,-33.16,-68.15,69.94,69.37,-73.53,53.68,-136,-48.7,23.1,-33.57,20,-92.78,-4.01,0.27,-4.42,2.72,-3.35
195,192.1,40.84,230,-31.25,-103.4,-118.4,79.82,11.43,-80.67,-36.89,66.73,-30.22,-160.5,53.78,-33.35,-34.27,23.2,-110,-270.5,24.46,83.79,87.42,-111.8,33.88,-90.27,240,130.7,-4.92,-4.37,-2.22,3.29,-2.64
-5.833,-6.295,-52.16,110,-69.44,-13.43,-19.14,69.05,65.57,-33.21,160.1,-84.15,-40.4,26.71,43.08,-27.58,181.1,-86.26,-75.08,48.92,151.5,91.22,155.4,-0.4977,50.3,48.69,110,-4.786,-1.57,-4.4,-2.24,2.27,0.11
-134.2,-121.1,1.783,-40,-142.9,21.87,80.08,15.5,-21.66,56.61,-91.89,76.94,31.9,-13.67,-26.47,111.9,-98.34,69.66,31,11.15,-90.87,-98.74,-32.21,18.78,-72.12,66.19,-20,-103.8,2.14,0.5,-3.4,4.52,-0.35
-115.8,-108.6,-3.693,20,-129.6,58.05,67.68,65,-32.19,93.9,44.38,-18.93,117.5,35.27,-86.08,48.92,-18.8,23.2,116.9,141.8,-96.11,-44.09,-103.8,-23.39,42.33,28.04,70,-90.21,-1.88,0.89,4.36,1.86,-0.16
223.3,226.5,-23.95,230,0,-86.67,-99.76,-84.18,134.7,-117.5,-210.9,86.37,-218.6,-118.9,123.3,-127.6,-242,29.5,-204,-242.2,-38.05,244,60.1,-33.43,174.6,47.99,200,193.3,0.65,-1.38,0.78,1.1,1.34
52.5,60.03,7.759,90,-88.24,-70.79,-68.75,101.5,-73.54,-65.42,-4.872,-114.8,48.2,47.51,-5.832,-77.13,49.69,-116.2,51.14,39.48,33.73,-33.68,28.34,-43.47,30.6,-76.27,130,56.33,1.05,-2.21,-4.12,2.93,-2.3
-103.2,-87.29,-40.84,0,-180,69.76,42.17,0.09781,-133.3,91.52,29.06,-39.56,192.4,54.98,-168.7,61.55,-0.6386,-33.88,190,120.9,-162.5,38.31,-200.9,22.71,-123.1,-6.51,70,-70.96,-3.08,-4.47,-2.15,1.65,0.3
95.27,22.64,10.61,-10,83.33,25.22,-0.6802,-373.3,284.2,-20.53,-221,65.84,-262.6,-86.94,-172.6,36.68,-47.47,-10.8,21.2,-7.225,366,21.44,139.8,-21.11,193.7,152.4,30,-4.367,4.08,-3.02,0.64,2.82,-4.06
250.7,232.5,48.89,-10,-125,-76.99,-110.9,4.499,-59.72,-8.897,-100.7,-46.28,48.96,-10.52,38.43,-11.72,-57.05,-215.6,57.97,-51.56,-119.7,42.26,-33,-11.98,-23.15,-182.1,20,105.5,1.98,-0.07,0.83,3.49,3.43
98.85,88.71,3.235,250,-20,-48.16,-86.39,48.24,18.66,38.08,-15.31,-58.62,-24.91,-33.35,39.39,-21.67,-5.96,70.5,64.65,-86.05,32.67,-23.79,-36.28,-7.595,-13.72,-135.5,270,42.94,-4.01,-0.26,-1.4,-4.7,-2.43
-99.57,-92.64,-26.27,30,-53.57,-0.99,42.17,-140.2,22.66,68.24,-88.6,-44.04,-8.85,40.1,23.98,40.75,-54.92,-18.83,-40.63,114.7,8.338,-32.04,-92.94,-73.69,-138.2,-46.14,60,-76.42,-0.37,-0.17,-4.28,-3.14,-0.12
0,10.71,4.754,100,-14.29,-15.84,-43.53,3.674,123.4,-10.62,121.2,-19.37,-80.58,15.28,110.7,-36.14,170.7,-72.02,-8.875,81.45,89.13,126.6,96.73,14.68,97.99,-8.841,100,6.914,3.26,4.62,-3.34,-2.51,4.03
12.18,16.8,7.578,100,-42.86,-48.16,-55.78,124.8,25.86,-24.41,86.2,13.7,-70.94,-37.32,19.16,-56.04,89.83,-18.83,1.151,39.58,54.57,82.83,90.58,-48.49,133.8,22.24,90,12.37,-2.63,3.3,1.45,-1.57,-0.68
-136.8,-122,-14.9,-30,-113.6,10.37,72.78,48.51,-20.53,69.54,-12.62,-12.08,42.54,-84.96,-59.84,145.7,-3.832,28.35,39.59,-82.35,-125,-140.1,-157,93.91,-174,29.23,50,-111.4,-4.39,-3.98,-1.58,2.22,-3.68
-7.051,-6.502,-75.09,-20,-21.74,-22.56,-30.03,-19.26,23.35,-2.1,61.62,14.53,-53.75,-145.6,-34.5,6.877,-6.408,-61.62,-17.29,-40.28,107.9,79.14,182.6,96.79,74.15,8.723,10,-0.6614,2.73,-3.1,2.48,-2.96,3.18
-102.6,-101.9,-32.1,-30,-204.5,64.26,56.31,181.2,-169.5,71.73,74.01,-63.92,192.8,43.92,-169.2,64.03,25.32,-39.29,151.2,54.88,-136.3,-57.94,-190.7,-105.3,15.55,-46.97,30,-79.37,3.2,-1.11,NA,-3.94,0.03
242.9,231.6,1.221,240,-10.2,-92.64,-116.4,-19.8,19.08,-89.43,-234.9,65.1,-188.8,-104.7,67.89,-137.5,-329.6,83.56,-261.2,-191.2,-112,205.9,20.86,-40.92,-3.349,66.61,240,194.1,0.85,1.05,2.13,-1.54,-3.52
-91.03,-93.13,8.938,-10,-145.8,57.98,77.89,79.02,-135.3,59.07,47.78,-12.7,201.4,104.8,-114.4,89.66,18.64,-69.5,49.44,94.26,-150.7,-31.21,-103.8,-50.53,25.95,-19.78,60,-76.39,-0.11,0.72,-0.99,0.47,0.09
7.051,9.478,44.39,80,-60.61,-89.5,-58.81,-71.15,-18.45,-16.44,-100.8,-17.89,-54.99,104.8,-17.44,-69.01,-110,-43.23,-151.8,80.04,-114.1,-127.8,11.13,-145.5,-2.404,-49.17,100,0,1.7,2.54,-1.48,-4.42,4.57
89.74,86.54,5.77,110,-111.1,-58.12,-94.79,107.2,-1.391,15.2,64.54,-94.39,170.5,-15.91,88.55,9.341,13.63,-51.11,-75.27,61.44,49.56,-33.12,71.41,-15.3,85.02,-53.11,130,76.72,2.6,-0.6,-1.91,-4.17,-0.68
-146.8,-140.5,-14.1,-80,-147.1,162.9,152.7,-139.3,6.481,185.4,27.79,-51.81,33.03,-131.4,-113.7,185.4,73.2,-38.54,102.3,-60.51,-70.26,-11.22,1.993,208.5,60.2,214.3,20,-116.4,-1.89,-2.32,1.51,-2.82,-1.91
-71.67,-78.52,-43.74,0,-160,56.68,75.51,107.6,-161.3,66.99,22.39,-65.63,116.6,175.3,-38.14,57.69,24.58,-40.17,-8.547,223.9,-180.3,-12.64,-116.7,-65.29,14.88,-12.95,40,-63.07,1.65,-0.46,-4.91,4.29,0.29
-70.53,-74.9,-25.38,10,-96.15,38.26,60.07,46.49,-62.25,52.19,127.3,-73.16,211.8,108.2,-46.71,111.7,80.53,-91.66,135.7,13.27,-40.17,-17.26,-115.1,-7.484,16.79,-11.02,80,-63.39,3.7,-4.88,2.73,3.17,2.89
239.1,235.4,-33.35,230,20.83,-47.35,-94.3,-113.6,111.8,-81.04,-167.4,85.75,-101.3,-145.8,-33.46,-71.56,-79.98,139.6,56.28,-232.2,-108.7,273.6,100.8,38.31,106.9,108.4,220,183.7,1.33,-4.2,2.02,-2.29,4.92
-110.9,-102.3,-57.23,50,-100,-1.183,76.96,54.17,-49.97,29.76,29.12,-72.68,-79.18,-129,7.164,37.41,-89.12,-41.2,-33.5,-123.8,-125.6,43.1,-60.58,-84.3,72.39,208.7,150,-250,3.86,-4.41,3.81,4.22,-2.41
-96.77,-79.64,-129.5,NA,-269.2,128.3,27.73,117.2,-119.5,82,80.69,-88.64,145.2,61.78,-126.1,80.44,71.35,-95.86,162.4,57.1,-141.2,101.3,-61.38,35.92,128.1,-9.499,-30,-250,4.22,-0.78,3.78,0.95,2.36
222.8,199.9,62.53,250,10,-157.2,-115.8,-99.59,95.62,-115.1,-73.47,138.7,-82.11,-44.18,90.05,-137.3,-46.45,160.7,-62.47,-48.11,160.2,1.926,105.1,-8.092,-42.23,-75.75,260,-250,1.72,-4.8,4.47,3.65,-4.49
72.58,51.92,68.95,40,-103.4,-36.27,-74.82,-16.23,21.03,12.62,72.46,-31.88,61.58,-84.56,-74.4,-3.918,35.29,-53.98,34.1,-79.65,-170.6,16.9,-55.52,-131.6,161.9,75.53,90,-250,2.24,-0.67,3.04,0.78,4.07
26.21,18.31,58.1,30,-71.43,-1.183,-42,39.35,-35.62,-4.117,23.64,NA,-8.798,36.58,-58.48,26.33,52.72,13.02,58.93,20.01,-6.13,63.47,-42.73,-61.91,72.39,24.3,110,-250,-1.1,3.79,2.79,-4.22,2.91
87.7,75.1,49.45,70,-78.13,-27.8,-83.03,56.02,-52.12,-11.46,52.71,4.65,45.46,32.57,-44.56,-73.79,5.84,60.63,25.82,4.871,-68.22,23.13,-35.27,-94.86,31.29,-20.23,120,-250,1.06,1.07,4.49,-1.13,-2.86
211.7,189.2,83.06,230,0,-135.5,-115.8,-164.4,168.1,-85.74,-85.54,123.8,-132,-82.27,168.3,-63.14,-83.11,113.5,-131.5,-90.5,88.18,44.34,60.09,-71.47,-20.77,-100.2,230,-250,-3.69,-3.74,4.53,3.33,3.01
-143.1,-123.7,-102.4,10,-153.8,-19.33,76.96,-16.23,13.14,48.94,-102.5,-78.35,16.13,207,-8.75,53.6,-66.88,-47.81,53.42,221.6,-23.67,-100.8,117.6,145.6,40.88,32.35,30,-250,-2.75,-4.56,2.34,-2.2,1.76
88.73,70.68,21.28,60,-112.9,-83.83,-75.35,84.69,-70.38,-25.51,55.5,-86.46,132.4,-12.28,-36.3,-33.98,NA,-71.82,71.56,88.1,117.8,-157.2,-62.48,-115.2,7.288,-54.21,100,41.96,-2.16,-2.56,3.4,-2.41,3.28
-113.4,-106.1,-29.2,-30,-227.3,76.58,40.5,77.15,-120.9,75.69,76.66,-78.6,226.9,-1.589,-53.19,18.27,5.778,-23.18,89.85,45.72,-111.9,-87.32,-298,11.43,-175.2,-77.13,20,-83.93,-4.25,2.12,-0.41,2.67,3.28
213.7,189.1,35.03,230,20.83,-43.99,-89.26,-159.2,102.6,-59.5,-220.8,117.1,-165.3,-209.2,91.65,-74.62,-114.2,134.1,-92.02,-246.9,0.7102,227.5,45.95,58.96,60.06,-13.52,220,62.23,-0.11,1.69,-4.41,-1.25,-3.61
-105.7,-102.2,35.44,-30,NA,55.61,31.23,156.9,-89.46,83.89,76.66,-56.38,112,60.79,-122.7,44.81,-29.37,-39.61,84.07,67.59,-72.27,-39.15,-137,-124.4,10.07,-5.222,10,-88.9,1.65,4.18,4.27,0.34,-0.94
-159,-145.3,-102.7,-120,-230.8,32.55,63.67,24.11,-148,68.26,13.18,-21.22,64.38,-125.5,-179.2,163.8,52.93,-17.5,137,-43.16,-87.56,33.67,-57.73,43,-28.82,70.24,-20,-128.7,-4.84,1.07,0.83,4.62,0.02
0,0,-3.991,30,17.86,-24.07,-52.18,-21.25,107.6,-1.283,34.94,67.17,-134.7,-49.71,51.38,36.93,110.4,-21.92,26.34,-14.45,101.8,34.05,115.1,5.405,71.56,132.3,30,-8.179,2.36,3.38,1.78,2.55,0.1
74.65,75.2,-54.11,40,-86.21,-71.2,-68.69,-35.6,-40.38,-18.37,-15.8,-86.12,112.7,106.6,-41.26,-39.63,168.5,-23.05,137.4,-13.79,121.6,-113.4,-30.88,18.7,-62.21,-92.35,70,50.3,1.83,2.95,-2.78,-4.71,-0.74
0,0,42.31,50,16.67,2.011,-33.24,-38.93,81.03,-4.104,120.8,26.98,-106.9,-77.89,6.133,13.08,115.4,-40.42,22.12,37.56,84.54,116.9,161.7,-6.789,94.23,52.66,80,-13.89,-0.6,3.66,-1.99,-2.82,-3.96
87.32,77.75,-1.314,50,-133.3,-73.23,-78.82,103.7,-109.7,-47.32,85.15,-80.5,162,16.29,-162.4,-109.8,55.95,-40.42,171,208.2,22.24,-68.49,-10.14,-17.92,5.286,-19.43,80,57.06,4.36,-2.04,1.15,1.7,-1.22
228.9,228.1,48.69,240,30.61,-54.93,-104.1,-147.8,138.6,-140.7,-207.5,154.5,-190.5,-56.96,109.2,-205.5,-279.7,136.9,-246.6,-121,17.95,110.7,18.74,-10.38,53.56,-118.3,230,163.3,-4.32,-2.6,-2.38,2.94,0.73
-91.55,-83.65,-28.92,-50,-175,104.7,57.9,29.5,-213.8,73.36,54.61,-89.25,163.1,177.2,-151.1,126.2,109.9,-174.8,110.6,60.21,-230.7,56.29,-186.4,-82.17,-16.62,-41.27,20,-69.82,-3.12,-4.47,4.56,-1.43,3.79
-2.113,-4.844,4.8,70,-46.88,-9.173,-33.24,72.65,42.4,9.351,118.2,10.11,-64.05,-134.1,17.42,33.36,81.56,-69.68,-0.2677,-24.36,-31.47,118.7,136.5,-80.01,124.2,19.7,100,-11.64,1.93,4.43,-0.18,1.88,2.55
-14.04,-10.14,-61.41,50,-16.67,17.84,-39.49,27.53,108.9,-6.293,69.96,123.1,NA,-139.8,65.2,16.07,77.4,-48.91,24.45,105,67.34,105.3,138.4,66.7,47.48,94.75,80,-9.898,-4.22,2.03,4.48,-3.87,-4.56
-109.6,-98.56,-98.44,-40,-142.9,57.32,82.54,35.19,-217.1,37.82,25.68,-69.67,94.32,128.8,-247.2,10.92,31.06,-32.07,153.4,120.4,-171.6,10.83,-181.8,-129.9,-59.41,-40.12,50,-78.86,3.3,1.88,2.71,-3.52,2.76
206.3,190.6,46.26,250,10,-86.44,-115.8,-113.5,86.73,-77.72,-111.6,117.1,-106.9,-118.4,12.46,-112.7,-148,137.3,-192.9,-248.8,122.4,141.7,-44.97,-8.144,-92.78,-83.45,270,134.4,1.52,0.01,-1.66,-1.74,-1.26
-4.32,-11.53,54.12,-40,-47.62,-9.494,-31.86,112.1,52,3.791,156.8,-26.34,-12.11,-114.9,-50.42,41.83,137.4,-52.87,39.45,-185.7,55.99,80.47,128.4,-13.79,80.86,74.78,-10,-23.95,0.2,4.63,-3.02,-4.39,0.62
-139.3,-129,-73.78,-40,-142.9,65.42,90.16,-31.83,-54.11,104.6,-27.45,-31.57,56.68,-47.12,-76.79,161.9,-26.87,-17.21,120.4,-28.82,-45.59,-111.7,-112.5,105.2,-63.06,68.45,40,-114.9,3.83,1.34,-3.54,-4.44,-4.5
77.21,69.86,40.68,80,-90.91,-129,-85.25,24.82,-61.82,-69.31,-29.23,-85.36,93.03,-11.46,-1.735,-116.8,17.37,-33.06,85.92,20.41,199.6,-104,66.8,-76.63,65.21,-112.7,130,40.55,1.45,-0.29,2.86,2.91,-1.47
-104.2,-98.98,-55.79,-30,-204.5,48.21,52.03,52.27,-64.72,88.24,-1.771,-80.13,129.4,37.27,-61.57,90.26,60.54,-51.88,150.4,-47.27,-113.1,-58.08,-195.1,-61.45,-106.3,-78.09,30,-81.74,-3.35,2.54,3.79,4.88,-0.83
47.85,53.34,-94.19,10,-134.6,12.54,-61.72,106.1,-212.6,-74.95,57.33,-97.9,173.4,87.2,-373.6,-291.9,-282.6,-279.2,-170.9,-22.55,-68.19,-81.57,-33.86,-39.88,-91.02,-30.16,70,49.62,-3.18,2.09,-1.9,4.57,0.92
168.2,167.4,6.373,220,21.28,-113.8,-116.3,-100.8,71.47,-126,-127.8,94.05,-117.9,-86.38,14.3,-134,-57.36,3.958,29.98,-157.4,7.584,166.8,42.88,-92.36,5.392,-123.7,230,138.8,-3.94,-4.76,-2.91,-3.82,4.3
-108.7,-105.8,-55.05,-30,-113.6,35.84,83.88,-46.39,-111.7,46.8,-73.85,-19.14,140.2,108,-98.45,77.55,-49.85,4.921,114.4,100.6,-176,24.76,-120.1,-54.28,-62.57,-44.27,50,-91.11,4.94,-2.74,3.15,4.14,-1.24
185.6,178.6,-37,230,41.67,-42.11,-89.02,-170.6,143.6,-109.7,-197.8,121.2,-205.9,-63.57,139.1,-117.4,-185,198.5,-149.5,-241.7,-146.9,119.8,56.8,56.66,47.44,84.8,220,135.8,-2.04,3.3,-4.22,0.08,2.28
-155.2,-146.2,-22.96,-20,-173.9,NA,102.1,20.36,-77.78,118.7,86.08,-27.74,79.06,-85.39,-48.79,129.7,130.3,-5.675,126.3,20.24,-98.21,-37.06,-75.6,69.86,20.26,167.4,60,-122.3,3.71,-0.49,-2.88,3.47,-3.93
-5.981,-13.7,16.88,30,-35.71,16.3,-49.66,91.16,-22.27,-3.118,140.6,86.4,-24.85,-86.42,3.092,27.21,58.28,55.5,-1.963,-79.69,47.49,36.54,55.96,13.91,-9.404,121.5,70,-13.33,2.48,-4.71,-1.85,-4.01,0.19
-2.632,-12.03,25.48,-20,-43.48,-0.8492,-41.67,94.18,-8.692,-8.165,98.15,72.86,-84.08,-136.8,-6.873,44.95,15.94,30.22,-0.8198,-135.2,46.64,93.85,49.08,-27.41,12.6,46.83,0,-10.86,-2.68,-1.41,1.12,-0.71,-0.17
58.13,49.31,23.29,90,-88.24,-95.18,-81.61,62.06,-95.28,-68.31,1.111,-76.04,137.3,27.74,-56.69,-95.36,9.761,-16.61,98.6,48.44,31.09,-98.27,31.69,-24.03,24.77,-175.5,110,48.24,3.48,1.03,-0.82,-0.84,-0.23
287.1,239.4,29.99,220,10.64,-105.7,-107.3,-77.3,63.9,-97.71,-135.5,115.2,-148.4,-138.8,1.486,-109.1,-156.8,127.6,-11.05,-202.9,37.08,179.6,32.47,21.92,-2.621,-39.2,230,142.1,3.01,-3.73,-3.69,3.42,2.06
37.12,26.89,-23.71,60,-16.13,65.94,-19.51,47.65,87.31,16.6,143.9,52.24,-72.73,-147.6,63.12,10.83,124.8,-8.194,77.78,39.24,62.69,127.2,181.9,4.998,208.3,118.1,70,2.355,-4.84,-2.58,-2.98,4.61,-2.28
-70.45,-68.56,-53.46,-80,-264.7,73.41,11.47,43.27,-128.7,91.39,-20.8,-76.41,92.23,-30.17,-175.6,99.12,24.9,-57.1,154.4,-19.2,-64.44,-30.67,-249.2,50.88,-232.9,-116.7,-20,-59.26,3.19,-4.97,-4.71,2.39,-1.46
126.5,104.9,-36.08,-10,-145.8,-18.29,-86.64,-34.38,-95.32,2.578,79.72,-71.65,100.4,97.15,-152,-100.3,197.9,-12.06,142.1,33.67,48.76,-23.62,-82.36,-113.5,23.64,31.72,70,41.99,1.21,-1.51,0.18,-1.76,-2.22
-84.09,-71.21,-159.5,-30,-159.1,90.47,37.29,-51.57,-107.6,98.19,28.04,-82.77,95.88,137.8,-117.2,-19.92,2.884,-39.73,51.23,147.8,-112.5,79.17,-134.3,-94.29,-25.43,37.02,100,-57.69,0.34,-4.76,-1.45,1.86,3.94
147.7,128,-34.91,80,-166.7,-78,-107.3,87.96,-15.13,11.93,29.75,-53.12,81.29,-3.829,214.6,-142,201.1,-102.8,157.4,114.4,15.07,-94.49,22.6,-82.63,4.697,-107.3,70,83.99,-3.87,0.86,1.56,-2.56,-4.29
0,0,-41.68,50,-33.33,43.94,-10.36,90.82,101.9,-42.63,204.3,-0.7337,-56.42,-187.2,65.23,11.91,169.7,-126.1,-17.31,-138,58.49,158.6,150,-33.11,87.86,-8.563,50,0,-3.19,3.32,0.29,-4.19,-1.84
-144.2,-129.5,-113.6,-190,-250,59.93,56.23,23.28,-85.36,98.08,44.64,-52.75,101.2,-57.05,-32.64,205.3,18.33,-55.83,31.66,-105.6,-132,-34.69,-183.5,65.58,-90.58,39.07,-100,-115.7,-0.78,1.66,0.8,-0.85,0.76
227,204.7,-6.74,190,0,-48.98,-97.44,-66.51,122,-71.12,2.239,117.8,-22.89,-70.25,151,-82.81,14.83,148.7,-57.38,-296.4,137.7,99.01,4.799,97.12,-14.54,-4.281,190,114.4,0.38,-3.91,-0.83,2.85,-0.68
218.2,210.5,-30.68,220,-31.91,-74.11,-82.07,29.12,2.496,-124.3,-129.4,77.97,-177.8,-30.65,93.54,-126,-219.6,171.9,-170.2,-162.3,-70.55,175.2,95.46,52.7,39.08,54.05,220,156.6,-1.22,-3.49,-2.36,4.16,1.04
-149.4,-137.2,-132.8,-160,-333.3,137.4,141.1,84.2,-138.2,136.4,85.64,-47.09,167.3,-91.12,-87.48,241.5,42.1,-47.38,125.4,-72.32,-170.8,-23.02,-171.5,165,-79.17,106.8,-100,-114.6,2.44,4.31,4.41,-2.8,-4.06
-97.9,-98.29,1.466,10,-173.1,-25.03,29.98,50.99,-89.99,20.68,-22.39,-40.45,97.01,8.932,-47,69.84,-52.53,-35.03,39.1,82.66,-162.6,-109.2,-197,-4.019,-156.4,-4.079,20,-84.48,2.45,2.32,-4.23,-0.54,2.37
-6.287,-9.723,-31.55,190,-45.45,-13.17,-15.77,94.39,30.66,-72.16,113.6,81.16,-145,-125.2,6.404,-53.35,77.02,44.69,-24.94,-78.58,86.95,138,105.5,-20.22,45.54,8.397,190,-7.025,-2.64,-0.03,1.04,-2.7,-2.26
-108.1,-96.81,-79.48,-60,-210.5,36.1,29.98,35.48,-144.9,68.27,-5.584,-104.9,124.7,49.38,-65.09,110.5,1.543,-73.2,126.8,43.53,-103.5,-39.82,-243.5,-58.6,-172.9,-179.7,-10,-83.1,-0.06,-2.13,-1.99,-1.9,0.28
-112.7,-100.2,-180.8,-60,-210.5,106.6,74.42,-105.2,-2.111,151.3,-71.95,-129.1,78.72,122.9,-154.9,88.75,49.24,-78.5,225.9,48.64,-30.73,157.9,-131.3,-25.2,-94.5,-13.81,0,-76.4,3.59,-1.04,-1.19,-2.54,-1.55
-100,-87.16,-135,-100,-233.3,80.05,52.99,-42.74,-175.2,81.61,-38.21,-96.37,116.1,148.5,-181.3,77.87,-13.48,-118.8,132,7.396,-196.5,29.79,-156.9,23.25,-85.67,-119.8,20,-70.6,2.78,-2.23,-2.69,2.36,-3.25
-152.4,-137,-72.46,-150,-250,124.6,95.85,-22.46,-122.5,131.4,90.4,-47.72,151.8,-42.98,-169.9,165.3,28.12,-46.23,186.1,-73.68,-138.2,-27.42,-204.8,46.5,-34.57,94.31,-90,-113.2,-0.18,1.84,-3.36,0.29,-1.18
1.526e-05,7.629e-06,-94.13,90,0,153.1,26.19,70.44,92.23,-36.44,223.4,79.44,-32.6,-277,13.24,20.66,135.6,-31.44,51.45,89.89,76.79,152.1,170,43.59,110.8,59.35,100,0,-1.5,-1.55,-3,-1.47,4.8
22.29,11.14,-47.87,40,-17.24,57.29,-16.67,68.68,87.67,-12.97,162.3,49.59,-60.02,-188.5,81.2,35.97,122.2,-117.5,56.97,64.29,60.09,125.6,143.7,-2.914,102,65.8,40,-5.798,-4.94,0,-4.08,-0.85,-3.88
236.1,232.9,18.2,220,-31.91,-2.444,-97.04,19.86,39.53,-53.76,-124.3,130.5,-166.4,-72.76,140.6,-168.3,-145.3,187.8,-45.7,-207.4,-31.54,153.9,9.063,125.9,43.93,92.16,NA,149,3.17,4.62,3.51,-3.41,-1.85
91.57,82.95,-30.31,0,-200,-42.27,-70.25,44.76,-63.27,0.02408,58.61,-80.84,195,-29.36,31.84,-38.96,70.36,-28.75,167.4,75.67,113.9,-65.45,96.1,39.07,24.89,-95.56,30,60.37,-0.14,1.15,-0.01,-2.86,-1.54
-128.5,-116.9,-39.09,-60,-289.5,75.76,53.94,98.87,-204.7,56.83,82.7,-40.56,159.9,2.364,-78.07,62.98,-37.35,3.322,43.1,51.3,-146,-43.23,-292.7,-46.21,-81.02,13,20,-96.23,0.74,1.7,-1.59,-1.72,-0.06
21.85,10.93,43.85,60,16.13,7.848,-17.48,9.453,80.86,-26.46,112.1,67.44,-76.01,-138.2,120.4,-15.05,143.1,-32.44,40.46,-37.82,73.42,90.38,151.8,-35.13,131.4,45.87,70,-0.4918,4.1,2.01,-0.51,3,4.41
310.2,273.5,3.862,220,-21.28,-32.25,-88.91,-3.456,4.922,-100.6,-101.2,126.3,-80.23,-47.3,21.59,-119.7,-52.97,212.5,56.3,-217.5,-43.03,151.1,25.14,64.88,49.43,-46.96,220,182.8,2.85,0.27,3.21,-2.6,-3.29
88.82,80.59,-90.11,-20,-217.4,3.757,-72.42,14.32,-69.41,30.72,76.07,-51.27,213.4,-17.31,-92.17,-49.79,196.1,-47.21,163.3,10.92,74.51,-35.34,-60.76,88.01,-16.73,21.89,10,43.77,0.62,-4.6,-0.21,3.93,1.84
-86.53,-86.23,-16.62,-60,-210.5,41.63,20.26,-78.76,-180.9,57.35,14.54,-50.63,100.5,37.31,-177.1,44.73,-45.54,-20.35,69.93,72.3,-115.1,-72.04,-241.7,-3.86,-173,11.41,NA,-68.63,1.99,3.81,1.68,2.3,1.1
3.078,-6.274,40.83,130,-39.47,-42.62,-28.29,89.53,39.35,-30.87,81.09,68.81,-71.65,-120,96.76,8.722,83.19,40.64,-43.32,-69.33,5.679,70.06,111.7,-39.01,82.13,13.67,110,-14.33,4.49,-3.51,-1.73,-1.22,-2.6
-142.6,-129.9,-147.1,-160,-277.8,90.2,106.6,17.39,-117.7,98.72,43.45,-46.62,114.3,-81.53,-192.3,149.6,58.56,-24.58,184.4,-52.12,-113.3,-49.12,-168.7,106,-56.07,103.1,-80,-114.3,3.36,-0.37,0,-0.73,-3.75
256.8,253.4,9.77,200,33.33,-27.75,-103.8,-107.3,36.79,-92.74,-225,113,-126,-106,10.55,-87.46,-190.2,140.6,-73.43,-162,-20.65,180.8,2.174,77.93,-37.36,-107.8,200,175.7,-0.09,1.09,4.44,-1.09,0.19
